blueOpacity,orangeOpacity,corrAns,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,instr1.started,instr1.stopped,trialBlue.started,trialBlue.stopped,trialOrange.started,trialOrange.stopped,trialFix.started,trialFix.stopped,trialResp.keys,trialResp.corr,trialResp.started,trialResp.stopped,trialResp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,1,None,0,0,0,0,35.228188100038096,None,46.88800809998065,None,46.88800809998065,None,45.89057129994035,46.902992099989206,None,1,46.88800809998065,None,,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
1,0,space,0,1,1,1,,,49.80018649995327,None,49.80018649995327,None,48.8215412000427,49.833536299993284,space,1,49.80018649995327,None,0.48500489990692586,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
1,0,space,0,2,2,2,,,51.300013400032185,None,51.300013400032185,None,50.30294089997187,51.31837929994799,space,1,51.300013400032185,None,0.5291925999335945,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
1,0,space,0,3,3,3,,,52.833275499986485,None,52.833275499986485,None,51.853342700051144,52.867368899984285,space,1,52.833275499986485,None,0.42760890000499785,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
1,0,space,0,4,4,4,,,54.26686580001842,None,54.26686580001842,None,53.28470019996166,54.3148720000172,space,1,54.26686580001842,None,0.4103114000754431,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
1,0,space,0,5,5,5,,,55.69921989995055,None,55.69921989995055,None,54.70330900000408,55.69921989995055,space,1,55.69921989995055,None,0.4257331999251619,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
0,1,None,0,6,6,6,,,57.13269899995066,None,57.13269899995066,None,56.15095769998152,57.16646239999682,None,1,57.13269899995066,None,,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
0,1,None,0,7,7,7,,,60.11500370001886,59.13238259998616,60.11500370001886,59.13238259998616,59.13238259998616,60.1323274000315,None,1,60.11500370001886,59.13238259998616,,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
1,0,space,0,8,8,8,,,63.09755890001543,62.11557080002967,63.09755890001543,62.11557080002967,62.11557080002967,63.1315895000007,space,1,63.09755890001543,62.11557080002967,0.3316805000649765,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
1,0,space,0,9,9,9,,,64.43031710002106,None,64.43031710002106,None,63.453492200002074,64.46413290000055,space,1,64.43031710002106,None,0.3343084000516683,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
0,1,None,0,10,10,10,,,65.7630168000469,None,65.7630168000469,None,64.78058949997649,65.77948849997483,None,1,65.7630168000469,None,,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
0,1,None,0,11,11,11,,,68.74558320001233,67.76376370002981,68.74558320001233,67.76376370002981,67.76376370002981,68.7787366999546,None,1,68.74558320001233,67.76376370002981,,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
0,1,None,0,12,12,12,,,71.72849659994245,70.74458669999149,71.72849659994245,70.74458669999149,70.74458669999149,71.74464239994995,None,1,71.72849659994245,70.74458669999149,,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
0,1,None,0,13,13,13,,,74.72766400000546,73.7436673999764,74.72766400000546,73.7436673999764,73.7436673999764,74.74380759999622,None,1,74.72766400000546,73.7436673999764,,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
0,1,None,0,14,14,14,,,77.7283044999931,76.74277719995007,77.7283044999931,76.74277719995007,76.74277719995007,77.74338630004786,None,1,77.7283044999931,76.74277719995007,,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
1,0,space,0,15,15,15,,,80.72567990003154,79.74227739998605,80.72567990003154,79.74227739998605,79.74227739998605,80.74178249994293,space,1,80.72567990003154,79.74227739998605,0.3030601000646129,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
0,1,None,0,16,16,16,,,82.04134350002278,None,82.04134350002278,None,81.05997229996137,82.07465820002835,None,1,82.04134350002278,None,,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
1,0,space,0,17,17,17,,,85.02459359995555,84.04059680004138,85.02459359995555,84.04059680004138,84.04059680004138,85.04063820000738,space,1,85.02459359995555,84.04059680004138,0.3720980000216514,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
0,1,None,0,18,18,18,,,86.4069148999406,None,86.4069148999406,None,85.42660849995445,86.44177170004696,None,1,86.4069148999406,None,,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
1,0,space,0,19,19,19,,,89.3908131000353,88.40742089995183,89.3908131000353,88.40742089995183,88.40742089995183,89.40620279998984,space,1,89.3908131000353,88.40742089995183,0.40597710001748055,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
1,0,space,0,20,20,20,,,90.80602569994517,None,90.80602569994517,None,89.82633139996324,90.83930939994752,space,1,90.80602569994517,None,0.4226534999907017,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
0,1,None,0,21,21,21,,,92.23873939993791,None,92.23873939993791,None,91.25952159997541,92.27339979994576,None,1,92.23873939993791,None,,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
0,1,None,0,22,22,22,,,95.22256250004284,94.25490860000718,95.22256250004284,94.25490860000718,94.25490860000718,95.25651380000636,None,1,95.22256250004284,94.25490860000718,,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
0,1,None,0,23,23,23,,,98.20394479995593,97.22332810005173,98.20394479995593,97.22332810005173,97.22332810005173,98.23739050002769,None,1,98.20394479995593,97.22332810005173,,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
1,0,space,0,24,24,24,,,101.18700379994698,100.2034955000272,101.18700379994698,100.2034955000272,100.2034955000272,101.20419049996417,space,1,101.18700379994698,100.2034955000272,0.36970989999827,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
0,1,None,0,25,25,25,,,102.56949679995887,None,102.56949679995887,None,101.58832330000587,102.60285719996318,None,1,102.56949679995887,None,,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
0,1,None,0,26,26,26,,,105.55354400002398,104.57067020004615,105.55354400002398,104.57067020004615,104.57067020004615,105.56902369996533,None,1,105.55354400002398,104.57067020004615,,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
0,1,None,0,27,27,27,,,108.55382759997156,107.56973770004697,108.55382759997156,107.56973770004697,107.56973770004697,108.56855560000986,None,1,108.55382759997156,107.56973770004697,,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
1,0,space,0,28,28,28,,,111.5538566999603,110.5687260000268,111.5538566999603,110.5687260000268,110.5687260000268,111.56911739998031,space,1,111.5538566999603,110.5687260000268,0.31517419998999685,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
1,0,space,0,29,29,29,,,112.86718830000609,None,112.86718830000609,None,111.88823249994311,112.90153140004259,space,1,112.86718830000609,None,0.32964769995305687,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
0,1,None,0,30,30,30,,,114.20010220003314,None,114.20010220003314,None,113.21985039999709,114.23422540002503,None,1,114.20010220003314,None,,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
1,0,space,0,31,31,31,,,117.18710940005258,116.21581490000244,117.18710940005258,116.21581490000244,116.21581490000244,117.2325127000222,space,1,117.18710940005258,116.21581490000244,0.3780884000007063,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
1,0,space,0,32,32,32,,,118.56618439999875,None,118.56618439999875,None,117.59826670004986,118.60022320004646,space,1,118.56618439999875,None,0.3344426999101415,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
1,0,space,0,33,33,33,,,119.89986969996244,None,119.89986969996244,None,118.92143350001425,119.933251200011,space,1,119.89986969996244,None,0.33685920003335923,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
0,1,None,0,34,34,34,,,121.25152289995458,None,121.25152289995458,None,120.26764970005024,121.26664449996315,None,1,121.25152289995458,None,,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
0,1,None,0,35,35,35,,,124.24818949995097,123.26430279994383,124.24818949995097,123.26430279994383,123.26430279994383,124.26710890000686,None,1,124.24818949995097,123.26430279994383,,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
1,0,space,0,36,36,36,,,127.23175140004605,126.24993749998976,127.23175140004605,126.24993749998976,126.24993749998976,127.2655284999637,space,1,127.23175140004605,126.24993749998976,0.3492306999396533,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
1,0,space,0,37,37,37,,,128.5967370000435,None,128.5967370000435,None,127.60130620002747,128.617739600013,space,1,128.5967370000435,None,0.3199505000375211,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
0,1,None,0,38,38,38,,,129.91360520001035,None,129.91360520001035,None,128.93168519996107,129.94699590001255,None,1,129.91360520001035,None,,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
1,0,space,0,39,39,39,,,132.8954583000159,131.91280699998606,132.8954583000159,131.91280699998606,131.91280699998606,132.9126160000451,space,1,132.8954583000159,131.91280699998606,0.3573135999031365,a,001,2020_Jun_21_1431,goNogoTest2,2020.1.3,60.46632840695599,
